sku,custom_label_2,title,price,inv,cat
706920,spyder_fallback,"Spyder 200207 3X3 Double-Sided 10"" Advanced Demo Reciprocating Saw Blade 10/12 TPI",5.81,5,Recip Blade
827854,spyder_fallback,Spyder 11031 3/4-Inch Spade Bit (2-Pack),5.81,5,KIT/SET
827845,spyder_fallback,Spyder 11020 3/8-Inch x 16-Inch Spade Bit,5.8,5,Spade Bit
828036,spyder_fallback,Spyder 19087 2-Inch PH2 Impact Driver Bit (5-Pack),5.8,4,KIT/SET
828037,spyder_fallback,Spyder 19089 2-Inch T25 Impact Driver Bit (5-Pack),5.8,4,KIT/SET
828038,spyder_fallback,Spyder 19088 2-Inch SQ2 Impact Driver Bit (5-Pack),5.8,5,KIT/SET
827963,spyder_fallback,Spyder 19012 1/4-Inch x 4-1/8-Inch HSS Twist Drill Bit,5.76,26,Twist Bit
869091,spyder_fallback,"Spyder 950026 5/32"" x 6"" SDS-Plus 4-Cutter Full-Carbide Rotary Hammer Drill Bit",5.69,0,SDS Bit
869170,spyder_fallback,"Spyder 950027 3/16"" x 6"" SDS-Plus 4-Cutter Full-Carbide Rotary Hammer Drill Bit",5.69,0,SDS Bit
706919,spyder_fallback,"Spyder 200204 3X3 Double-Sided 10"" 10/14 TPI Bi-Metal Reciprocating Saw Blade for Wood and Metal Cutting",5.68,5,Recip Blade
828135,spyder_fallback,Spyder 600066CF 1-Inch Bi-Metal Hole Saw,5.64,4,Hole Saw
804743,spyder_fallback,"Spyder 600064CF 7/8-Inch Bi-Metal Hole Saw for Wood, Metal, and Plastics",5.51,5,Hole Saw
827853,spyder_fallback,Spyder 11030 5/8-Inch Spade Bit (2-Pack),5.51,5,KIT/SET
827852,spyder_fallback,Spyder 11029 1/2-Inch Spade Bit (2-Pack),5.45,5,KIT/SET
868996,spyder_fallback,Spyder 950086 3/8 in x 6 in Impact Shank Carbide-Tipped Multiconstruction Masonry Drill Bit,5.41,0,Impact Bit
869097,spyder_fallback,"Spyder 19176 2"" 1/4"" Hex Quick Change Bit Holder Extension",5.39,0,Bit other
869133,spyder_fallback,Spyder 200408 12 in 6 TPI Bi-Metal Extreme Demolition Recip Saw Blade for Wood and Nails,5.35,0,Blade other
869200,spyder_fallback,"Spyder 19139 17/64"" Mach-Blue Armor Plated HSS Hex Shank Drill Bit for Metal and Wood",5.32,0,Drill Bit
827962,spyder_fallback,Spyder 19011 15/64-Inch Drill Bit,5.25,5,Drill Bit
868984,spyder_fallback,Spyder 950067 5/16 in x 12 in Three-Flat Grip Shank Rotary Hammer Drill Bit for Concrete and Masonry,5.23,0,Drill Bit
868997,spyder_fallback,"Spyder 950085 5/16"" x 6"" Impact Shank Carbide-Tipped Multi-Construction Masonry Drill Bit",5.13,0,Impact Bit
868987,spyder_fallback,"Spyder 950073 3/16"" x 3.5"" Quick-Release Hex Shank Carbide-Tipped Glass and Tile Drill Bit",5.11,0,Drill Bit
706917,spyder_fallback,"Spyder 200205 3X3 Double-Sided 8"" 10/14 TPI Bi-Metal Reciprocating Saw Blade",5.1,5,Recip Blade
869030,spyder_fallback,Spyder 950006 3/8 in x 6 in SDS-Plus 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit,5.09,0,SDS Bit
